,Open Bid_x,Open Bid_y,Short Swap USDPLN,Long Swap USDPLN,open_1
2005-04-04,2.74,2.0,2.2569444444444443e-05,-2.540106951871657e-05,7.1096
2005-04-05,2.77,2.0,2.2366522366522368e-05,-2.453580901856764e-05,7.1513
2005-04-06,2.76,2.0,6.871727748691098e-05,-7.557624113475178e-05,7.1227
2005-04-07,2.69,2.0,2.316036352975667e-05,-2.5669978922011443e-05,7.1031
2005-04-08,2.7,2.0,2.156432748538012e-05,-2.5150150150150148e-05,7.1377
2005-04-09,2.76,1.96,2.105034722222222e-05,-2.430555555555556e-05,7.1377
2005-04-10,2.76,1.96,2.105034722222222e-05,-2.430555555555556e-05,7.1377
2005-04-11,2.77,2.0,2.1284271284271284e-05,-2.3798997936928973e-05,7.0886
2005-04-12,2.74,2.0,2.1412037037037036e-05,-2.4584076054664283e-05,7.0527
2005-04-13,2.72,1.97,6.086387434554976e-05,-7.347670250896056e-05,7.081
2005-04-14,2.73,2.0,2.1612996808819263e-05,-2.4426571343461423e-05,7.1046
2005-04-15,2.8,2.0,2.117783579924572e-05,-2.339181286549708e-05,7.1626
2005-04-16,2.77,1.94,2.1284271284271284e-05,-2.5272620100206312e-05,7.1626
2005-04-17,2.77,1.94,2.1284271284271284e-05,-2.5272620100206312e-05,7.1626
2005-04-18,2.73,2.0,2.117783579924572e-05,-2.494787012213285e-05,7.1121
2005-04-19,2.72,2.0,2.3487492728330424e-05,-2.635902031063321e-05,7.0706
2005-04-20,2.76,2.0,6.662326388888889e-05,-7.646276595744682e-05,7.0243
2005-04-21,2.8,2.02,2.2507122507122505e-05,-2.529239766081871e-05,7.0112
2005-04-22,2.84,2.0,2.117427505024405e-05,-2.314814814814815e-05,7.0372
2005-04-23,2.86,1.95,2.03182722364308e-05,-2.2524467472654004e-05,7.0372
2005-04-24,2.86,1.95,2.044159544159544e-05,-2.2524467472654004e-05,7.0372
2005-04-25,2.9,2.0,1.9932145886344354e-05,-2.1723646723646727e-05,7.0408
2005-04-26,2.9,1.99,1.9097222222222225e-05,-2.136752136752137e-05,7.0208
2005-04-27,2.95,2.0,5.4857621440536e-05,-6.223628691983122e-05,7.0468
2005-04-28,2.99,2.0,1.610005527915976e-05,-1.8170426065162904e-05,7.0726
2005-04-29,3.01,2.0,1.622662266226623e-05,-1.787198669991688e-05,7.0908
2005-04-30,3.01,1.97,1.553905390539054e-05,-1.8633970628983095e-05,7.0908
2005-05-01,3.01,1.97,1.553905390539054e-05,-1.8633970628983095e-05,7.0908
2005-05-02,3.03,2.0,1.6009852216748765e-05,-1.771436448855804e-05,7.1437
2005-05-03,2.98,2.0,1.4637799564270156e-05,-1.8495254048017867e-05,7.1677
2005-05-04,3.01,2.0,4.7502047502047496e-05,-5.361596009975064e-05,7.0892
2005-05-05,2.97,2.0,1.5561015561015556e-05,-1.805205709487825e-05,7.0848
2005-05-06,2.94,2.0,1.608910891089109e-05,-1.8612521150592215e-05,7.0828
2005-05-07,2.99,1.94,1.624351624351624e-05,-1.991088833194096e-05,7.0828
2005-05-08,2.99,1.94,1.624351624351624e-05,-1.991088833194096e-05,7.0828
2005-05-09,3.02,2.0,1.579520697167756e-05,-1.7827529021558873e-05,7.1629
2005-05-10,2.98,2.0,1.579520697167756e-05,-1.793690675600223e-05,7.1379
2005-05-11,2.96,1.96,4.885057471264367e-05,-5.63973063973064e-05,7.1524
2005-05-12,2.98,2.0,1.606753812636166e-05,-1.8565047459519817e-05,7.1995
2005-05-13,2.95,1.97,1.676364643945691e-05,-1.884669479606188e-05,7.2695
2005-05-14,2.98,1.94,1.4773965141612196e-05,-1.8634840871021777e-05,7.2695
2005-05-15,2.98,1.94,1.4773965141612196e-05,-1.8634840871021777e-05,7.2695
2005-05-16,2.93,2.0,1.6555832640620673e-05,-1.8871925360474976e-05,7.3001
2005-05-17,2.95,2.0,1.690218897201441e-05,-1.863572433192686e-05,7.3071
2005-05-18,3.0,2.0,4.802955665024629e-05,-5.416666666666665e-05,7.2977
2005-05-19,2.98,2.0,1.579520697167756e-05,-1.8285873813512e-05,7.2363
2005-05-20,2.98,2.0,1.579520697167756e-05,-1.793690675600223e-05,7.2677
2005-05-21,2.96,1.92,1.5325670498084287e-05,-1.816778900112233e-05,7.2677
2005-05-22,2.96,1.97,1.5325670498084287e-05,-1.816778900112233e-05,7.2677
2005-05-23,2.96,1.97,1.4983579638752046e-05,-1.816778900112233e-05,7.3063
2005-05-24,2.98,1.99,1.5114379084967316e-05,-1.793690675600223e-05,7.2932
2005-05-25,2.95,2.0,4.597701149425286e-05,-5.274261603375528e-05,7.2856
2005-05-26,2.99,1.99,1.534908992121706e-05,-1.7822333611807294e-05,7.2898
2005-05-27,2.98,1.99,1.5454793028322434e-05,-1.793690675600223e-05,7.3478
2005-05-28,3.01,1.96,1.6232002173322472e-05,-1.814907176503187e-05,7.3478
2005-05-29,3.01,1.99,1.6232002173322472e-05,-1.814907176503187e-05,7.3478
2005-05-30,2.95,2.0,1.6060104769782197e-05,-1.835443037974683e-05,7.3272
2005-05-31,3.01,2.0,1.534908992121706e-05,-1.7248545303408146e-05,7.3961
2005-06-01,3.0,2.0,4.76190476190476e-05,-5.3750000000000005e-05,7.4294
2005-06-02,3.01,1.99,1.5219765219765214e-05,-1.7248545303408146e-05,7.4903
2005-06-03,2.97,1.99,1.5522875816993464e-05,-1.8122026308424288e-05,7.4301
2005-06-04,3.0,1.94,1.5999455337690628e-05,-1.8263888888888887e-05,7.4301
2005-06-05,2.97,1.97,1.6107016107016105e-05,-1.861181080324657e-05,7.4301
2005-06-06,3.01,1.99,1.6038766038766035e-05,-1.828761429758936e-05,7.4503
2005-06-07,2.98,1.99,1.579520697167756e-05,-1.8006700167504182e-05,7.4588
2005-06-08,2.98,2.0,4.79115479115479e-05,-5.381072026800669e-05,7.4237
2005-06-09,2.98,2.04,1.5114379084967316e-05,-1.7587939698492464e-05,7.5052
2005-06-10,2.95,2.0,1.5843621399176957e-05,-1.835443037974683e-05,7.5152
2005-06-11,2.97,2.01,1.4810264810264812e-05,-1.854184158970053e-05,7.5152
2005-06-12,2.97,2.01,1.4810264810264812e-05,-1.854184158970053e-05,7.5152
2005-06-13,2.95,2.06,1.611796982167353e-05,-1.863572433192686e-05,7.632
2005-06-14,2.99,2.07,1.5213257267047e-05,-1.7683096630465053e-05,7.6573
2005-06-15,3.0,2.01,4.532520325203255e-05,-5.270833333333335e-05,7.7021
2005-06-16,3.0,1.83,1.524390243902439e-05,-1.770833333333333e-05,7.6792
2005-06-17,3.01,1.75,1.513922681805894e-05,-1.7594901634801886e-05,7.6524
2005-06-18,3.02,1.77,1.4227642276422767e-05,-1.7689331122166947e-05,7.6524
2005-06-19,3.02,1.77,1.4227642276422767e-05,-1.7689331122166947e-05,7.6524
2005-06-20,3.03,1.67,1.4595103578154424e-05,-1.7025089605734776e-05,7.5444
2005-06-21,3.05,1.67,1.405622489959839e-05,-1.6460905349794243e-05,7.6079
2005-06-22,3.12,1.47,3.949447077409161e-05,-4.65210355987055e-05,7.5923
2005-06-23,3.2,1.51,1.2596899224806204e-05,-1.4880952380952378e-05,7.6986
2005-06-24,3.22,1.49,1.2409979423868308e-05,-1.4415481832543438e-05,7.8061
2005-06-25,3.25,1.48,1.1163032191069578e-05,-1.4052287581699343e-05,7.8061
2005-06-26,3.25,1.48,1.1163032191069578e-05,-1.4052287581699343e-05,7.8061
2005-06-27,3.27,1.51,1.07133692584039e-05,-1.2555295342180595e-05,7.7421
2005-06-28,3.21,1.51,1.0891982469708684e-05,-1.3130113486408023e-05,7.7217
2005-06-29,3.26,1.51,3.04783950617284e-05,-3.75586854460094e-05,7.8064
2005-06-30,3.22,1.5,9.83796296296296e-06,-1.2374934175882036e-05,7.8116
2005-07-01,3.3,1.5,9.280303030303029e-06,-1.1434108527131788e-05,7.8147
2005-07-02,3.25,1.44,9.36617911213754e-06,-1.2549019607843137e-05,7.8147
2005-07-03,3.26,1.44,9.625322997416025e-06,-1.2454355764214923e-05,7.8147
2005-07-04,3.24,1.49,9.408602150537632e-06,-1.1857966457023058e-05,7.9544
2005-07-05,3.22,1.49,9.494482935591476e-06,-1.204581358609794e-05,7.9493
2005-07-06,3.23,1.5,3.134735202492213e-05,-3.684003152088258e-05,7.8837
2005-07-07,3.22,1.47,9.902263374485594e-06,-1.2111637704054754e-05,7.8657
2005-07-08,3.2,1.5,9.989688063934002e-06,-1.2301587301587296e-05,7.8868
2005-07-09,3.26,1.45,9.664618535586274e-06,-1.167188315075639e-05,7.8868
2005-07-10,3.22,1.45,9.83796296296296e-06,-1.204581358609794e-05,7.8868
2005-07-11,3.24,1.5,9.72862263184844e-06,-1.1857966457023058e-05,7.8639
2005-07-12,3.25,1.5,9.751090582499355e-06,-1.1764705882352942e-05,7.7862
2005-07-13,3.22,1.46,2.9706790123456784e-05,-3.653238546603474e-05,7.7066
2005-07-14,3.21,1.46,1.0311936065996391e-05,-1.2470308788598574e-05,7.7557
2005-07-15,3.26,1.5,9.83796296296296e-06,-1.167188315075639e-05,7.7639
2005-07-16,3.23,1.46,9.751090582499355e-06,-1.313370107696349e-05,7.7639
2005-07-17,3.26,1.46,1.0012919896640823e-05,-1.2845592070944187e-05,7.7639
2005-07-18,3.2,1.5,1.0522875816993465e-05,-1.2301587301587296e-05,7.7843
2005-07-19,3.22,1.51,9.516460905349794e-06,-1.204581358609794e-05,7.8228
2005-07-20,3.21,1.56,3.0742459396751744e-05,-3.642121931908154e-05,7.7883
2005-07-21,3.22,1.57,9.902263374485594e-06,-1.2111637704054754e-05,7.8014
2005-07-22,3.27,1.5,9.751090582499355e-06,-1.1579495186052563e-05,7.7626
2005-07-23,3.24,1.49,8.640552995391707e-06,-1.1988993710691824e-05,7.7626
2005-07-24,3.24,1.49,8.640552995391707e-06,-1.1988993710691824e-05,7.7626
2005-07-25,3.28,1.53,8.960573476702514e-06,-1.0773624091381106e-05,7.8318
2005-07-26,3.23,1.54,9.045419553502694e-06,-1.1229314420803784e-05,7.8213
2005-07-27,3.26,1.5,2.6682134570765663e-05,-3.384194053208139e-05,7.8647
2005-07-28,3.24,1.5,7.808499743983616e-06,-9.958071278825992e-06,7.8297
2005-07-29,3.31,1.49,7.627765064836003e-06,-9.409641660221695e-06,7.7602
2005-07-30,3.32,1.45,7.900101936799187e-06,-9.516460905349794e-06,7.7602
2005-07-31,3.32,1.45,7.900101936799187e-06,-9.516460905349794e-06,7.7602
2005-08-01,3.32,1.45,7.478632478632482e-06,-9.516460905349794e-06,7.7178
2005-08-02,3.37,1.48,7.702020202020197e-06,-9.216882786676834e-06,7.6929
2005-08-03,3.38,1.46,2.101934523809523e-05,-2.720700152207001e-05,7.699
2005-08-04,3.44,1.5,6.546744982868335e-06,-8.508508508508514e-06,7.6105
2005-08-05,3.45,1.47,6.86779494726515e-06,-8.302122347066171e-06,7.5498
2005-08-06,3.48,1.47,6.368267831149929e-06,-8.370535714285711e-06,7.5498
2005-08-07,3.45,1.49,6.593406593406594e-06,-8.614232209737825e-06,7.5498
2005-08-08,3.46,1.51,6.532356532356534e-06,-8.470353761833582e-06,7.5662
2005-08-09,3.45,1.51,6.593406593406594e-06,-8.614232209737825e-06,7.5514
2005-08-10,3.47,1.5,1.9693654266958424e-05,-2.572706935123041e-05,7.5684
2005-08-11,3.45,1.5,6.7155067155067165e-06,-8.614232209737825e-06,7.5236
2005-08-12,3.48,1.5,6.791483113069016e-06,-8.370535714285711e-06,7.4551
2005-08-13,3.49,1.49,6.593406593406594e-06,-8.290027220984905e-06,7.4551
2005-08-14,3.45,1.49,6.593406593406594e-06,-8.614232209737825e-06,7.4551
2005-08-15,3.43,1.5,6.745155751778272e-06,-8.778530223225489e-06,7.4867
2005-08-16,3.42,1.5,6.94444444444445e-06,-8.798391151332327e-06,7.5387
2005-08-17,3.45,1.5,2.106227106227106e-05,-2.715355805243447e-05,7.5664
2005-08-18,3.45,1.5,7.020757020757021e-06,-9.051186017478156e-06,7.5896
2005-08-19,3.49,1.5,6.776556776556778e-06,-8.413758970551843e-06,7.6587
2005-08-20,3.48,1.52,6.091617933723191e-06,-9.1765873015873e-06,7.6587
2005-08-21,3.47,1.52,6.017505470459514e-06,-9.25925925925925e-06,7.6587
2005-08-22,3.45,1.5,6.532356532356534e-06,-8.551810237203497e-06,7.6956
2005-08-23,3.47,1.51,6.442985655239479e-06,-8.26497638578175e-06,7.6677
2005-08-24,3.51,1.5,1.8964259664478477e-05,-2.29120473022912e-05,7.6498
2005-08-25,3.46,1.51,6.33528265107212e-06,-8.034379671150974e-06,7.5803
2005-08-26,3.52,1.52,6.1863173216885e-06,-7.620452310717797e-06,7.5897
2005-08-27,3.51,1.51,5.386105059307674e-06,-8.438038925843803e-06,7.5897
2005-08-28,3.51,1.51,5.386105059307674e-06,-8.438038925843803e-06,7.5897
2005-08-29,3.53,1.5,5.870249334301624e-06,-7.542310522442974e-06,7.5745
2005-08-30,3.47,1.5,5.835156819839532e-06,-7.5192642306736176e-06,7.6365
2005-08-31,3.51,1.5,1.695842450765865e-05,-2.198817442719882e-05,7.6377
2005-09-01,3.46,1.5,5.60428849902534e-06,-7.286995515695066e-06,7.5592
2005-09-02,3.49,1.5,5.204550956184945e-06,-6.6815144766146985e-06,7.4585
2005-09-03,3.5,1.51,5.155264434740415e-06,-6.851851851851856e-06,7.4585
2005-09-04,3.5,1.51,4.730713245997091e-06,-7.716049382716046e-06,7.4585
2005-09-05,3.5,1.5,5.1169590643274825e-06,-6.790123456790124e-06,7.3711
2005-09-06,3.46,1.49,5.543372319688106e-06,-6.91330343796712e-06,7.4464
2005-09-07,3.51,1.49,1.5795206971677556e-05,-1.9586104951958615e-05,7.4537
2005-09-08,3.52,1.5,4.749879749879751e-06,-6.575712881022618e-06,7.4916
2005-09-09,3.54,1.53,4.729406130268195e-06,-6.669114047968673e-06,7.5167
2005-09-10,3.58,1.45,3.993800667620407e-06,-6.853469189713733e-06,7.5167
2005-09-11,3.58,1.45,3.993800667620407e-06,-6.853469189713733e-06,7.5167
2005-09-12,3.53,1.48,5.132850241545898e-06,-6.254598969830759e-06,7.5442
2005-09-13,3.59,1.51,4.205164652925851e-06,-6.112321471798595e-06,7.5493
2005-09-14,3.62,1.5,1.2005649717514111e-05,-1.7496392496392494e-05,7.5838
2005-09-15,3.69,1.5,3.42147993504987e-06,-5.212035062781339e-06,7.6323
2005-09-16,3.69,1.51,3.653444676409188e-06,-5.389718076285244e-06,7.62
2005-09-17,3.71,1.51,3.3333333333333363e-06,-5.9565935362113696e-06,7.62
2005-09-18,3.68,1.51,3.138075313807535e-06,-6.1728395061728425e-06,7.62
2005-09-19,3.72,1.5,3.465003465003465e-06,-5.178907721280595e-06,7.6687
2005-09-20,3.69,1.5,3.59545349106936e-06,-5.389718076285244e-06,7.6636
2005-09-21,3.68,1.5,1.0983263598326372e-05,-1.6025641025641022e-05,7.6706
2005-09-22,3.76,1.5,3.0927835051546407e-06,-4.610177404295053e-06,7.6414
2005-09-23,3.74,1.5,2.7605244996549336e-06,-4.512423816221282e-06,7.6932
2005-09-24,3.78,1.49,3.169663439372984e-06,-5.695025569502559e-06,7.6932
2005-09-25,3.78,1.5,3.169663439372984e-06,-5.695025569502559e-06,7.6932
2005-09-26,3.74,1.5,2.926997245179061e-06,-4.746835443037969e-06,7.7774
2005-09-27,3.73,1.5,3.0480791350356557e-06,-4.815597838853652e-06,7.8041
2005-09-28,3.76,1.5,8.916323731138563e-06,-1.435574229691877e-05,7.8016
2005-09-29,3.73,1.5,3.335633770416377e-06,-5.1679586563307455e-06,7.7705
2005-09-30,3.71,1.48,3.5805035805035777e-06,-5.425807973578673e-06,7.7384
2005-10-01,3.76,1.49,3.696003696003696e-06,-4.901960784313727e-06,7.7384
2005-10-02,3.75,1.49,3.436426116838494e-06,-4.970760233918125e-06,7.7384
2005-10-03,3.71,1.48,3.753753753753753e-06,-5.071950931823542e-06,7.7936
2005-10-04,3.71,1.5,3.753753753753753e-06,-5.130927105449397e-06,7.8016
2005-10-05,3.75,1.5,1.0221760221760229e-05,-1.4912280701754376e-05,7.8065
2005-10-06,3.72,1.49,3.630705394190871e-06,-5.002354048964214e-06,7.7191
2005-10-07,3.74,1.49,3.703703703703709e-06,-4.981247069854662e-06,7.67
2005-10-08,3.74,1.46,3.630705394190871e-06,-5.039849976558831e-06,7.67
2005-10-09,3.74,1.46,3.630705394190871e-06,-5.039849976558831e-06,7.67
2005-10-10,3.73,1.5,3.2139577594123062e-06,-5.109231853417896e-06,7.6976
2005-10-11,3.75,1.5,3.5805035805035777e-06,-5.087719298245617e-06,7.757
2005-10-12,3.71,1.5,1.1261261261261258e-05,-1.5038924274593064e-05,7.798
2005-10-13,3.72,1.48,3.400184416781928e-06,-5.178907721280595e-06,7.8035
2005-10-14,3.72,1.5,3.6883356385431063e-06,-4.94350282485875e-06,7.8223
2005-10-15,3.76,1.47,3.4435261707988986e-06,-4.843604108309992e-06,7.8223
2005-10-16,3.76,1.47,3.4435261707988986e-06,-4.843604108309992e-06,7.8223
2005-10-17,3.71,1.5,3.696003696003696e-06,-5.543760320830389e-06,7.8042
2005-10-18,3.71,1.5,3.753753753753753e-06,-5.602736494456238e-06,7.8809
2005-10-19,3.73,1.5,1.0983263598326372e-05,-1.532769556025369e-05,7.9203
2005-10-20,3.75,1.48,3.4722222222222283e-06,-5.029239766081871e-06,7.8992
2005-10-21,3.83,1.48,2.64818571106604e-06,-4.428341384863119e-06,7.8709
2005-10-22,3.87,1.48,3.05498981670061e-06,-5.532740132329455e-06,7.8709
2005-10-23,3.87,1.48,3.05498981670061e-06,-5.532740132329455e-06,7.8709
2005-10-24,3.85,1.48,2.525252525252529e-06,-4.352806414662088e-06,7.9774
2005-10-25,3.89,1.48,2.8172188415596096e-06,-4.203590093160644e-06,7.96
2005-10-26,3.93,1.48,7.377598926894694e-06,-1.1663286004056806e-05,7.8422
2005-10-27,3.96,1.48,1.8664909969257807e-06,-3.5842293906810005e-06,7.8617
2005-10-28,4.0,1.48,1.925192519251927e-06,-3.388888888888892e-06,7.8455
2005-10-29,4.0,1.48,1.5310586176727942e-06,-4.166666666666664e-06,7.8455
2005-10-30,3.96,1.48,1.646903820816867e-06,-4.424283154121862e-06,7.8455
2005-10-31,4.02,1.48,1.7497812773403356e-06,-3.2093846834882727e-06,7.9103
2005-11-01,4.03,1.48,1.8664909969257807e-06,-4.197039982328251e-06,7.9592
2005-11-02,3.96,1.48,6.422924901185789e-06,-1.0584677419354832e-05,7.9652
2005-11-03,3.97,1.52,2.0271751040981797e-06,-3.800581265369998e-06,7.9774
2005-11-04,4.01,1.48,1.9063180827886768e-06,-3.2712353071634507e-06,8.0386
2005-11-05,4.0,1.48,1.5857392825896735e-06,-4.22222222222222e-06,8.0386
2005-11-06,4.0,1.48,1.5857392825896735e-06,-4.22222222222222e-06,8.0386
2005-11-07,3.97,1.48,2.081963620425157e-06,-3.744690364408671e-06,8.1381
2005-11-08,3.97,1.48,1.9175980714442226e-06,-3.688799463447344e-06,8.1821
2005-11-09,3.97,1.48,5.752794214332668e-06,-1.1066398390342033e-05,8.1094
2005-11-10,3.97,1.48,1.9175980714442226e-06,-3.688799463447344e-06,8.1747
2005-11-11,3.97,1.48,2.081963620425157e-06,-3.521126760563376e-06,8.2238
2005-11-12,4.0,1.48,2.023184601924762e-06,-3.33333333333333e-06,8.2238
2005-11-13,3.98,1.5,2.023184601924762e-06,-3.45827755466309e-06,8.2238
2005-11-14,3.96,1.51,1.9762845849802382e-06,-3.6962365591397846e-06,8.1158
2005-11-15,3.97,1.48,1.8628095551172448e-06,-3.632908562486024e-06,8.1875
2005-11-16,3.96,1.48,7.246376811594217e-06,-1.1592741935483875e-05,8.2125
2005-11-17,3.94,1.48,2.039241622574955e-06,-3.823661718398565e-06,8.2374
